dimension,value,num_purchasers,total_sales
overall,overall,1446,95002.80000000002
creative_id,51EB59EA-596D-4152-A3BC-8B3D2545B703,76,5585.599999999999
creative_id,819207AA-9B91-4548-8D29-72E408889F95,76,11682.569999999998
creative_id,11560756-35D4-4C54-81BB-8BE050D71BF1,31,13836.699999999997
creative_id,221DD129-4A18-4573-84C0-A95FFAAF0B17,74,18828.729999999996
creative_id,D26E0D47-E904-47B2-8E5C-0F0B6436AB5A,59,22457.499999999996
creative_id,CF9F8BA0-98C3-4DF9-BCE7-6650DD96F2E8,28,23880.049999999996
creative_id,294EB0E6-5A06-4EAF-B0B8-3A89B144A6C2,55,26935.559999999994
creative_id,B683B123-8332-4082-8A05-5D5995F3CA6B,86,33088.979999999996
creative_id,E1983420-7A67-436E-BC12-8391494A34F0,55,35759.02
creative_id,681F21C2-356A-4086-A4DE-6028C30467E7,68,40494.56999999999
creative_id,37BCD1CA-CE38-4A72-BA56-A0CFF0CFC867,32,42783.649999999994
creative_id,64FAEC07-1FD0-4EE6-B234-8DE21F5D7B41,81,47787.479999999996
creative_id,E044EB8A-E589-433C-BF67-AA678824BBA3,33,49699.899999999994
creative_id,F1AA049F-9285-42A9-8534-AFB2FC075389,29,51913.079999999994
creative_id,3762C459-D735-4323-A262-06777BF2DE29,39,55115.189999999995
creative_id,D753C3BE-6775-4D9D-88B2-EF6FF5341CE7,85,59725.61
creative_id,3E479E6A-842A-45A2-A3FA-AEA11F4B7FC0,25,61864.73
creative_id,FB1D085C-C2CA-42F3-A9BB-63EE59428019,76,66920.06000000001
creative_id,BB0EC99E-2EE0-4768-9033-1AFE37047E75,45,68996.49
creative_id,BBA6CE16-02A6-4081-B539-7DB07AE3064A,84,74243.64000000001
creative_id,FC287EBF-79F3-410A-8945-EB63DA6A153D,59,77674.53000000001
creative_id,591AA5A0-C4E9-460B-84B8-9CA9447BDFA9,49,80999.78000000001
creative_id,4BF19B84-C751-4620-9C87-CFF340A36918,59,85865.83000000002
creative_id,B4A07967-10F3-43A5-A15B-CE4405B39C25,13,86405.56000000001
creative_id,7513C6D7-4D4C-4BAE-8581-D6C73CC96DF4,15,87397.86000000002
creative_id,BFE3EFEE-38DD-4B3A-8385-666090E192D2,81,92854.05000000002
creative_id,23C5F5C0-7AB6-426C-A1CA-018C3DCA6475,17,94118.21000000002
creative_id,D81C503E-C018-46B2-86F9-3181EEEB0477,9,94594.82000000002
creative_id,171EE06C-841F-4EA6-9B1D-35C61AB3D673,1,94690.80000000002
creative_id,01FABB44-CDEE-4C56-837B-F207E4A61E5C,6,95002.80000000002
